acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name
0.155,https://api.spotify.com/v1/audio-analysis/5547Ud5o8NeEZqEFz08OSC,0.469,276920,0.316,5547Ud5o8NeEZqEFz08OSC,3.72e-06,2,0.108,-5.268,1,0.0297,129.793,4,https://api.spotify.com/v1/tracks/5547Ud5o8NeEZqEFz08OSC,audio_features,spotify:track:5547Ud5o8NeEZqEFz08OSC,0.232,ハッピーバースデー
0.0222,https://api.spotify.com/v1/audio-analysis/2VamjVwaxdOXNYSRjoVguX,0.505,232707,0.91,2VamjVwaxdOXNYSRjoVguX,0.0,4,0.102,-2.003,0,0.0819,130.022,4,https://api.spotify.com/v1/tracks/2VamjVwaxdOXNYSRjoVguX,audio_features,spotify:track:2VamjVwaxdOXNYSRjoVguX,0.506,チャーハンたべたい
0.0489,https://api.spotify.com/v1/audio-analysis/0ESRE42gPp0CoeSTQAldYs,0.729,236827,0.957,0ESRE42gPp0CoeSTQAldYs,7.5e-06,9,0.159,-2.315,1,0.26,140.035,4,https://api.spotify.com/v1/tracks/0ESRE42gPp0CoeSTQAldYs,audio_features,spotify:track:0ESRE42gPp0CoeSTQAldYs,0.832,明日、俺はAxSxEになる……
0.0195,https://api.spotify.com/v1/audio-analysis/0JKgeeolE3NBBBHdzRKiS4,0.483,220867,0.959,0JKgeeolE3NBBBHdzRKiS4,0.9,11,0.351,-3.349,0,0.234,164.198,4,https://api.spotify.com/v1/tracks/0JKgeeolE3NBBBHdzRKiS4,audio_features,spotify:track:0JKgeeolE3NBBBHdzRKiS4,0.594,よくないんです
0.259,https://api.spotify.com/v1/audio-analysis/0SvMeKyuIjc53vkGoygkyh,0.713,268813,0.905,0SvMeKyuIjc53vkGoygkyh,2.39e-05,2,0.0948,-3.809,0,0.0851,110.069,4,https://api.spotify.com/v1/tracks/0SvMeKyuIjc53vkGoygkyh,audio_features,spotify:track:0SvMeKyuIjc53vkGoygkyh,0.756,eve
0.00362,https://api.spotify.com/v1/audio-analysis/7IRndWTd90IEQVcMgpqnCP,0.487,276933,0.976,7IRndWTd90IEQVcMgpqnCP,0.000167,9,0.0718,-1.158,1,0.122,135.167,4,https://api.spotify.com/v1/tracks/7IRndWTd90IEQVcMgpqnCP,audio_features,spotify:track:7IRndWTd90IEQVcMgpqnCP,0.224,クズとリンゴ
0.199,https://api.spotify.com/v1/audio-analysis/3PsBst6zQZM6dyBGqbVVHE,0.735,215667,0.827,3PsBst6zQZM6dyBGqbVVHE,1.26e-06,3,0.0914,-2.496,1,0.033,122.999,4,https://api.spotify.com/v1/tracks/3PsBst6zQZM6dyBGqbVVHE,audio_features,spotify:track:3PsBst6zQZM6dyBGqbVVHE,0.871,ココ
0.515,https://api.spotify.com/v1/audio-analysis/7xso4cVZ7uNnd8AoGpJYmM,0.829,324893,0.715,7xso4cVZ7uNnd8AoGpJYmM,3.1e-06,1,0.101,-6.209,0,0.111,99.974,4,https://api.spotify.com/v1/tracks/7xso4cVZ7uNnd8AoGpJYmM,audio_features,spotify:track:7xso4cVZ7uNnd8AoGpJYmM,0.616,Tee-Poøwy
0.00265,https://api.spotify.com/v1/audio-analysis/7tt9LY26FdFGS2PdQ45UcW,0.589,274867,0.924,7tt9LY26FdFGS2PdQ45UcW,1.32e-06,4,0.076,-2.139,0,0.151,130.011,4,https://api.spotify.com/v1/tracks/7tt9LY26FdFGS2PdQ45UcW,audio_features,spotify:track:7tt9LY26FdFGS2PdQ45UcW,0.522,おしゃれメロス
0.00324,https://api.spotify.com/v1/audio-analysis/3NmFRFIbEqmZ7LF4yolKpu,0.245,211867,0.985,3NmFRFIbEqmZ7LF4yolKpu,5.13e-06,9,0.213,-2.313,1,0.154,150.144,4,https://api.spotify.com/v1/tracks/3NmFRFIbEqmZ7LF4yolKpu,audio_features,spotify:track:3NmFRFIbEqmZ7LF4yolKpu,0.313,絶望シネマで臨死
