acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name
0.000571,https://api.spotify.com/v1/audio-analysis/2W53mNmiU1NWS5vqHxcJqT,0.496,220093,0.693,2W53mNmiU1NWS5vqHxcJqT,6.12e-05,11,0.0795,-2.883,0,0.0353,122.019,4,https://api.spotify.com/v1/tracks/2W53mNmiU1NWS5vqHxcJqT,audio_features,spotify:track:2W53mNmiU1NWS5vqHxcJqT,0.688,哲学の先生
0.0109,https://api.spotify.com/v1/audio-analysis/5Q9QkpgfVavSohqVSPKqN2,0.527,200840,0.835,5Q9QkpgfVavSohqVSPKqN2,4.15e-05,9,0.0999,-5.341,1,0.0259,99.99,4,https://api.spotify.com/v1/tracks/5Q9QkpgfVavSohqVSPKqN2,audio_features,spotify:track:5Q9QkpgfVavSohqVSPKqN2,0.562,ギターの教本
0.0156,https://api.spotify.com/v1/audio-analysis/6rKNtTTC2rQhHyrKBhniQa,0.288,289027,0.841,6rKNtTTC2rQhHyrKBhniQa,1.97e-06,7,0.3,-4.076,1,0.0326,182.027,4,https://api.spotify.com/v1/tracks/6rKNtTTC2rQhHyrKBhniQa,audio_features,spotify:track:6rKNtTTC2rQhHyrKBhniQa,0.465,悪い癖
0.257,https://api.spotify.com/v1/audio-analysis/4WjB9MQVr8WcsnJbhsttqh,0.498,196973,0.71,4WjB9MQVr8WcsnJbhsttqh,1.62e-06,9,0.119,-4.361,0,0.0309,82.92,4,https://api.spotify.com/v1/tracks/4WjB9MQVr8WcsnJbhsttqh,audio_features,spotify:track:4WjB9MQVr8WcsnJbhsttqh,0.282,新しい人
0.133,https://api.spotify.com/v1/audio-analysis/1S71jMRsHowXcqt13hNVc0,0.59,215573,0.757,1S71jMRsHowXcqt13hNVc0,0.0142,10,0.422,-5.796,1,0.0323,114.088,4,https://api.spotify.com/v1/tracks/1S71jMRsHowXcqt13hNVc0,audio_features,spotify:track:1S71jMRsHowXcqt13hNVc0,0.639,2102
0.000346,https://api.spotify.com/v1/audio-analysis/6HOmZp1P2zCK9X5k47H711,0.213,247427,0.598,6HOmZp1P2zCK9X5k47H711,2.23e-05,2,0.174,-4.938,1,0.0328,171.44,4,https://api.spotify.com/v1/tracks/6HOmZp1P2zCK9X5k47H711,audio_features,spotify:track:6HOmZp1P2zCK9X5k47H711,0.201,もしかして
0.00737,https://api.spotify.com/v1/audio-analysis/23FAaIM7WVmJz1eJjYhcaC,0.49,222173,0.722,23FAaIM7WVmJz1eJjYhcaC,0.0,6,0.3,-4.322,1,0.029,132.963,4,https://api.spotify.com/v1/tracks/23FAaIM7WVmJz1eJjYhcaC,audio_features,spotify:track:23FAaIM7WVmJz1eJjYhcaC,0.504,神様は全部見てる
0.00602,https://api.spotify.com/v1/audio-analysis/6aNm8X8DzLk1rIwZlZOus0,0.416,230373,0.801,6aNm8X8DzLk1rIwZlZOus0,7.99e-06,2,0.166,-3.131,1,0.0327,130.013,4,https://api.spotify.com/v1/tracks/6aNm8X8DzLk1rIwZlZOus0,audio_features,spotify:track:6aNm8X8DzLk1rIwZlZOus0,0.494,記憶
0.307,https://api.spotify.com/v1/audio-analysis/6yv0QtMTBBCTy5wwiQTInu,0.68,189427,0.499,6yv0QtMTBBCTy5wwiQTInu,0.000679,7,0.176,-10.133,1,0.0359,85.007,4,https://api.spotify.com/v1/tracks/6yv0QtMTBBCTy5wwiQTInu,audio_features,spotify:track:6yv0QtMTBBCTy5wwiQTInu,0.669,3'09
0.624,https://api.spotify.com/v1/audio-analysis/5sets3ixZS0gY5Jxu6tyo6,0.321,400532,0.446,5sets3ixZS0gY5Jxu6tyo6,0.0215,5,0.0891,-6.578,1,0.0386,171.115,4,https://api.spotify.com/v1/tracks/5sets3ixZS0gY5Jxu6tyo6,audio_features,spotify:track:5sets3ixZS0gY5Jxu6tyo6,0.181,オリンピック
